ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1985,AC,Feminino,15449,0.0
1985,AC,Masculino,19104,0.0
1985,AL,Feminino,78152,0.0
1985,AL,Masculino,133729,0.0
1985,AM,Feminino,78495,0.0
1985,AM,Masculino,120160,0.0
1985,AP,Feminino,7341,0.0
1985,AP,Masculino,14744,0.0
1985,BA,Feminino,293749,0.0
1985,BA,Masculino,538024,0.0
1985,CE,Feminino,211620,0.0
1985,CE,Masculino,264406,0.0
1985,DF,Feminino,139109,0.0
1985,DF,Masculino,332023,0.0
1985,ES,Feminino,98704,0.0
1985,ES,Masculino,215564,0.0
1985,GO,Feminino,137642,0.0
1985,GO,Masculino,246075,0.0
1985,MG,Feminino,530802,0.0
1985,MG,Masculino,1304963,0.0
1985,MS,Feminino,53842,0.0
1985,MS,Masculino,121128,0.0
1985,MT,Feminino,42007,0.0
1985,MT,Masculino,99595,0.0
1985,PA,Feminino,107125,0.0
1985,PA,Masculino,228391,0.0
1985,PB,Feminino,99564,0.0
1985,PB,Masculino,133386,0.0
1985,PE,Feminino,224404,0.0
1985,PE,Masculino,487039,0.0
1985,PI,Feminino,56094,0.0
1985,PI,Masculino,74772,0.0
1985,PR,Feminino,341666,0.0
1985,PR,Masculino,759385,0.0
1985,RJ,Feminino,838823,0.0
1985,RJ,Masculino,1834996,0.0
1985,RN,Feminino,80600,0.0
1985,RN,Masculino,118687,0.0
1985,RO,Feminino,27840,0.0
1985,RO,Masculino,53903,0.0
1985,RR,Feminino,6036,0.0
1985,RR,Masculino,8694,0.0
1985,RS,Feminino,602882,0.0
1985,RS,Masculino,1007420,0.0
1985,SC,Feminino,245545,0.0
1985,SC,Masculino,497898,0.0
1985,SE,Feminino,52095,0.0
1985,SE,Masculino,88040,0.0
1985,SP,Feminino,2102404,0.0
1985,SP,Masculino,4651786,0.0
1986,AC,Feminino,18799,0.0
1986,AC,Masculino,21807,0.0
1986,AL,Feminino,84341,0.0
1986,AL,Masculino,147713,0.0
1986,AM,Feminino,99368,0.0
1986,AM,Masculino,137618,0.0
1986,AP,Feminino,8466,0.0
1986,AP,Masculino,15147,0.0
1986,BA,Feminino,317851,0.0
1986,BA,Masculino,578115,0.0
1986,CE,Feminino,235027,0.0
1986,CE,Masculino,293954,0.0
1986,DF,Feminino,149831,0.0
1986,DF,Masculino,351148,0.0
1986,ES,Feminino,112239,0.0
1986,ES,Masculino,230511,0.0
1986,GO,Feminino,161364,0.0
1986,GO,Masculino,261873,0.0
1986,MA,Feminino,83474,0.0
1986,MA,Masculino,128472,0.0
1986,MG,Feminino,616670,0.0
1986,MG,Masculino,1423064,0.0
1986,MS,Feminino,60580,0.0
1986,MS,Masculino,130960,0.0
1986,MT,Feminino,44694,0.0
1986,MT,Masculino,103987,0.0
1986,PB,Feminino,116158,0.0
1986,PB,Masculino,150574,0.0
1986,PE,Feminino,248491,0.0
1986,PE,Masculino,530086,0.0
1986,PI,Feminino,69343,0.0
1986,PI,Masculino,91826,0.0
1986,PR,Feminino,384223,0.0
1986,PR,Masculino,829132,0.0
1986,RJ,Feminino,906538,0.0
1986,RJ,Masculino,1944435,0.0
1986,RN,Feminino,85214,0.0
1986,RN,Masculino,126601,0.0
1986,RO,Feminino,9972,0.0
1986,RO,Masculino,37327,0.0
1986,RR,Feminino,6493,0.0
1986,RR,Masculino,9754,0.0
1986,RS,Feminino,656784,0.0
1986,RS,Masculino,1074602,0.0
1986,SC,Feminino,282875,0.0
1986,SC,Masculino,544027,0.0
1986,SE,Feminino,45799,0.0
1986,SE,Masculino,88976,0.0
1986,SP,Feminino,2317792,0.0
1986,SP,Masculino,4991416,0.0
1987,AC,Feminino,19163,0.0
1987,AC,Masculino,23011,0.0
1987,AL,Feminino,97116,0.0
1987,AL,Masculino,163634,0.0
1987,AM,Feminino,95286,0.0
1987,AM,Masculino,139553,0.0
1987,AP,Feminino,7736,0.0
1987,AP,Masculino,17017,0.0
1987,BA,Feminino,328166,0.0
1987,BA,Masculino,588142,0.0
1987,CE,Feminino,248067,0.0
1987,CE,Masculino,298543,0.0
1987,DF,Feminino,157603,0.0
1987,DF,Masculino,360935,0.0
1987,ES,Feminino,117465,0.0
1987,ES,Masculino,237657,0.0
1987,GO,Feminino,169007,0.0
1987,GO,Masculino,274687,0.0
1987,MA,Feminino,89495,0.0
1987,MA,Masculino,135089,0.0
1987,MG,Feminino,647071,0.0
1987,MG,Masculino,1451718,0.0
1987,MS,Feminino,61932,0.0
1987,MS,Masculino,132179,0.0
1987,MT,Feminino,49839,0.0
1987,MT,Masculino,117009,0.0
1987,PA,Feminino,127753,0.0
1987,PA,Masculino,255508,0.0
1987,PB,Feminino,118370,0.0
1987,PB,Masculino,154714,0.0
1987,PE,Feminino,261908,0.0
1987,PE,Masculino,586865,0.0
1987,PI,Feminino,71786,0.0
1987,PI,Masculino,95609,0.0
1987,PR,Feminino,406058,0.0
1987,PR,Masculino,859291,0.0
1987,RJ,Feminino,942014,0.0
1987,RJ,Masculino,1956353,0.0
1987,RN,Feminino,103815,0.0
1987,RN,Masculino,145283,0.0
1987,RO,Feminino,35736,0.0
1987,RO,Masculino,61190,0.0
1987,RR,Feminino,6465,0.0
1987,RR,Masculino,9857,0.0
1987,RS,Feminino,667253,0.0
1987,RS,Masculino,1093861,0.0
1987,SC,Feminino,291298,0.0
1987,SC,Masculino,564790,0.0
1987,SE,Feminino,57507,0.0
1987,SE,Masculino,102593,0.0
1987,SP,Feminino,2398634,0.0
1987,SP,Masculino,5101728,0.0
1988,AC,Feminino,20282,0.0
1988,AC,Masculino,24427,0.0
1988,AL,Feminino,102248,0.0
1988,AL,Masculino,168601,0.0
1988,AM,Feminino,101210,0.0
1988,AM,Masculino,148006,0.0
1988,AP,Feminino,10428,0.0
1988,AP,Masculino,17780,0.0
1988,BA,Feminino,336512,0.0
1988,BA,Masculino,577718,0.0
1988,CE,Feminino,261014,0.0
1988,CE,Masculino,304165,0.0
1988,DF,Feminino,162998,0.0
1988,DF,Masculino,385603,0.0
1988,ES,Feminino,123172,0.0
1988,ES,Masculino,251522,0.0
1988,GO,Feminino,185948,0.0
1988,GO,Masculino,305316,0.0
1988,MA,Feminino,96560,0.0
1988,MA,Masculino,141463,0.0
1988,MG,Feminino,689463,0.0
1988,MG,Masculino,1553080,0.0
1988,MS,Feminino,67551,0.0
1988,MS,Masculino,146582,0.0
1988,MT,Feminino,53331,0.0
1988,MT,Masculino,124550,0.0
1988,PA,Feminino,132424,0.0
1988,PA,Masculino,259943,0.0
1988,PB,Feminino,131796,0.0
1988,PB,Masculino,155705,0.0
1988,PE,Feminino,266882,0.0
1988,PE,Masculino,579134,0.0
1988,PI,Feminino,76600,0.0
1988,PI,Masculino,97552,0.0
1988,PR,Feminino,430450,0.0
1988,PR,Masculino,906355,0.0
1988,RJ,Feminino,991851,0.0
1988,RJ,Masculino,2038902,0.0
1988,RN,Feminino,108789,0.0
1988,RN,Masculino,148488,0.0
1988,RO,Feminino,40828,0.0
1988,RO,Masculino,69104,0.0
1988,RR,Feminino,6714,0.0
1988,RR,Masculino,8878,0.0
1988,RS,Feminino,694051,0.0
1988,RS,Masculino,1140097,0.0
1988,SC,Feminino,289158,0.0
1988,SC,Masculino,569523,0.0
1988,SE,Feminino,73883,0.0
1988,SE,Masculino,109777,0.0
1988,SP,Feminino,2542627,0.0
1988,SP,Masculino,5352922,0.0
1989,AC,Feminino,21005,0.0
1989,AC,Masculino,23061,0.0
