ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2015,MS,Masculino,Parda,Na força de trabalho,Conta própria,6,3766.67
2015,AP,Feminino,Parda,Na força de trabalho,Conta própria,1,150.0
2012,CE,Feminino,Preta,Na força de trabalho,Conta própria,24,1234.79
2012,RN,Feminino,Preta,Na força de trabalho,Conta própria,6,450.0
2023,RR,Masculino,Parda,Na força de trabalho,Conta própria,1,2700.0
2023,BA,Masculino,Amarela,Na força de trabalho,Conta própria,973,1292.54
2015,DF,Feminino,Preta,Na força de trabalho,Conta própria,18,1028.89
2023,SE,Masculino,Amarela,Na força de trabalho,Conta própria,2,1325.0
2013,MS,Feminino,Branca,Na força de trabalho,Conta própria,210,1221.33
2013,MT,Masculino,Parda,Na força de trabalho,Conta própria,4,5000.0
2016,RJ,Masculino,Branca,Na força de trabalho,Conta própria,1171,2162.9
2016,RS,Feminino,Preta,Na força de trabalho,Conta própria,39,832.82
2014,CE,Masculino,Preta,Na força de trabalho,Conta própria,112,746.24
2014,CE,Masculino,Amarela,Na força de trabalho,Conta própria,4,600.0
2017,RN,Feminino,Amarela,Na força de trabalho,Conta própria,251,691.48
2017,MT,Feminino,Amarela,Na força de trabalho,Conta própria,2,675.0
2017,PI,Masculino,Preta,Na força de trabalho,Conta própria,111,744.65
2016,RN,Masculino,Preta,Na força de trabalho,Conta própria,54,1083.15
2018,RO,Masculino,Amarela,Na força de trabalho,Conta própria,7,3150.57
2017,RO,Masculino,Branca,Na força de trabalho,Conta própria,349,1760.28
2019,AM,Masculino,Parda,Na força de trabalho,Conta própria,6,824.67
2017,SC,Feminino,Amarela,Na força de trabalho,Conta própria,4,1162.5
2018,AC,Feminino,Branca,Na força de trabalho,Conta própria,60,1280.47
2024,CE,Feminino,Branca,Na força de trabalho,Conta própria,221,1534.98
2017,PR,Masculino,Parda,Na força de trabalho,Conta própria,22,3176.18
2022,MS,Masculino,Branca,Na força de trabalho,Conta própria,336,2875.31
2020,PB,Feminino,Parda,Na força de trabalho,Conta própria,2,950.0
2019,AP,Masculino,Amarela,Na força de trabalho,Conta própria,3,1066.0
2013,PR,Masculino,Amarela,Na força de trabalho,Conta própria,1,100.0
2020,PR,Feminino,Branca,Na força de trabalho,Conta própria,499,2020.59
2021,BA,Masculino,Parda,Na força de trabalho,Conta própria,10,895.0
2016,AP,Feminino,Branca,Na força de trabalho,Conta própria,28,1321.79
2015,MA,Masculino,Parda,Na força de trabalho,Conta própria,11,572.22
2012,PI,Feminino,Amarela,Na força de trabalho,Conta própria,466,345.95
2012,SP,Feminino,Preta,Na força de trabalho,Conta própria,51,1000.78
2012,PR,Feminino,Preta,Na força de trabalho,Conta própria,17,871.88
2012,PB,Feminino,Amarela,Na força de trabalho,Conta própria,291,465.42
2014,DF,Masculino,Amarela,Na força de trabalho,Conta própria,282,1747.01
2012,SC,Masculino,Amarela,Na força de trabalho,Conta própria,1,900.0
2012,SC,Feminino,Parda,Na força de trabalho,Conta própria,1,622.0
2023,AM,Masculino,Amarela,Na força de trabalho,Conta própria,71,1018.07
2023,AM,Feminino,Parda,Na força de trabalho,Conta própria,2,4410.0
2014,RR,Feminino,Preta,Na força de trabalho,Conta própria,11,343.09
2014,RN,Feminino,Preta,Na força de trabalho,Conta própria,20,405.1
2013,MG,Feminino,Preta,Na força de trabalho,Conta própria,107,731.8
2013,AM,Feminino,Branca,Na força de trabalho,Conta própria,91,1205.96
2016,PB,Feminino,Preta,Na força de trabalho,Conta própria,23,627.83
2017,GO,Masculino,Amarela,Na força de trabalho,Conta própria,3,833.33
2022,SP,Masculino,Amarela,Na força de trabalho,Conta própria,13,2924.0
2018,CE,Feminino,Preta,Na força de trabalho,Conta própria,69,603.35
