ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_pensao_alimenticia,media_programas_sociais,media_outros_rendimentos,total_respondentes
2019,AC,Feminino,Outras idades / Não mapeado,2.0,2.0,1.99,2.0,220
2019,AC,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,218
2019,AC,Feminino,Outras idades / Não mapeado,1.96,2.0,1.99,1.97,147
2019,AC,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,1.97,108
2019,AC,Masculino,Outras idades / Não mapeado,2.0,2.0,1.98,2.0,210
2019,AC,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,263
2019,AL,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,69
2019,AL,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,2.0,45
2019,AL,Masculino,Outras idades / Não mapeado,1.96,2.0,1.98,1.98,57
2019,AL,Feminino,Outras idades / Não mapeado,1.85,2.0,2.0,1.98,46
2019,AL,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,49
2019,AL,Feminino,Outras idades / Não mapeado,1.96,2.0,2.0,2.0,56
2019,AM,Masculino,Outras idades / Não mapeado,1.98,2.0,1.98,1.99,280
2019,AM,Feminino,Outras idades / Não mapeado,1.99,1.99,1.99,1.98,357
2019,AM,Masculino,Outras idades / Não mapeado,1.98,2.0,1.99,2.0,330
2019,AM,Masculino,45 a 59 anos,1.99,2.0,2.0,2.0,557
2019,AM,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.98,312
2019,AM,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,423
2019,AM,Masculino,Outras idades / Não mapeado,1.86,2.0,2.0,2.0,76
2019,AM,Masculino,Outras idades / Não mapeado,1.98,2.0,1.97,1.99,170
2019,PA,Masculino,Outras idades / Não mapeado,1.91,2.0,2.0,2.0,11
2019,PA,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,7
2019,PA,Masculino,Outras idades / Não mapeado,2.0,2.0,1.96,1.96,28
2019,PA,Feminino,30 a 44 anos,2.0,2.0,2.0,2.0,40
2019,PA,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,33
2019,PA,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,39
2019,PA,Feminino,Outras idades / Não mapeado,1.83,2.0,2.0,2.0,6
2019,PA,Feminino,Outras idades / Não mapeado,1.75,2.0,2.0,2.0,8
2019,PA,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,3
2019,AP,Masculino,45 a 59 anos,1.98,2.0,2.0,2.0,242
2019,AP,Feminino,15 a 29 anos,1.99,2.0,2.0,2.0,163
2019,AP,Masculino,Outras idades / Não mapeado,1.97,2.0,1.99,1.99,74
2019,AP,Masculino,Outras idades / Não mapeado,1.99,1.99,2.0,1.99,172
2019,AP,Feminino,Outras idades / Não mapeado,1.98,2.0,1.99,1.98,131
2019,AP,Feminino,Outras idades / Não mapeado,1.99,1.99,1.98,1.99,155
2019,AP,Masculino,Outras idades / Não mapeado,1.98,1.99,2.0,1.98,100
2019,AP,Masculino,Outras idades / Não mapeado,1.91,2.0,2.0,1.91,22
2019,MA,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,80
2019,MA,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.99,70
2019,MA,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.96,46
2019,MA,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,65
2019,MA,Feminino,Outras idades / Não mapeado,1.95,2.0,2.0,2.0,39
2019,MA,Masculino,15 a 29 anos,2.0,1.99,2.0,2.0,80
2019,CE,Masculino,30 a 44 anos,1.99,2.0,2.0,2.0,190
2019,CE,Masculino,Outras idades / Não mapeado,1.99,1.99,1.99,1.96,187
2019,CE,Feminino,Outras idades / Não mapeado,2.0,2.0,1.99,2.0,222
2019,CE,Feminino,Outras idades / Não mapeado,1.98,1.99,2.0,1.99,134
2019,CE,Masculino,15 a 29 anos,1.99,2.0,2.0,2.0,192
2019,CE,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.99,184
2019,BA,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,81
2019,BA,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.98,58
2019,BA,Masculino,Outras idades / Não mapeado,1.98,1.99,1.96,1.99,109
2019,BA,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.99,85
2019,BA,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.96,57
2019,BA,Masculino,30 a 44 anos,1.99,2.0,2.0,2.0,84
2019,MG,Feminino,Outras idades / Não mapeado,1.99,2.0,1.99,1.99,177
2019,MG,Masculino,0 a 14 anos,2.0,2.0,2.0,2.0,174
2019,MG,Feminino,60 anos ou mais,1.99,2.0,1.99,2.0,199
2019,MG,Masculino,60 anos ou mais,1.99,1.99,1.99,1.99,169
2019,MG,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.98,200
2019,MG,Masculino,Outras idades / Não mapeado,2.0,2.0,1.98,1.96,206
2019,MG,Feminino,45 a 59 anos,2.0,2.0,2.0,2.0,227
2019,MG,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,1.99,135
2019,MG,Masculino,Outras idades / Não mapeado,1.97,2.0,2.0,1.9,78
2019,MG,Feminino,Outras idades / Não mapeado,1.93,2.0,2.0,1.99,72
2019,MG,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.84,38
2019,ES,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.98,59
2019,ES,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,70
2019,ES,Masculino,Outras idades / Não mapeado,1.98,2.0,1.96,1.93,54
2019,ES,Feminino,Outras idades / Não mapeado,1.99,2.0,1.97,1.95,78
2019,ES,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.94,50
2019,ES,Masculino,45 a 59 anos,2.0,2.0,2.0,2.0,70
2019,ES,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,64
2019,ES,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.94,17
2019,MS,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,2
2019,MS,Feminino,30 a 44 anos,2.0,2.0,2.0,2.0,4
2019,MS,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,4
2019,MS,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,4
2019,MS,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,1
2019,MT,Feminino,45 a 59 anos,2.0,2.0,2.0,2.0,45
2019,MT,Feminino,60 anos ou mais,2.0,2.0,2.0,2.0,29
2019,MT,Masculino,Outras idades / Não mapeado,1.98,2.0,1.98,1.96,54
2019,MT,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,24
2019,MT,Masculino,0 a 14 anos,2.0,2.0,2.0,2.0,34
2019,MT,Masculino,Outras idades / Não mapeado,1.97,1.97,2.0,2.0,34
2019,MT,Masculino,60 anos ou mais,2.0,2.0,1.95,2.0,40
2019,MT,Feminino,Outras idades / Não mapeado,2.0,1.97,1.97,2.0,35
2019,MT,Feminino,Outras idades / Não mapeado,1.89,2.0,2.0,1.89,9
2019,MT,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.92,12
2019,MT,Masculino,Outras idades / Não mapeado,1.8,1.8,2.0,1.6,5
2019,GO,Feminino,45 a 59 anos,1.99,2.0,2.0,2.0,261
2019,GO,Masculino,0 a 14 anos,2.0,1.99,2.0,2.0,183
2019,GO,Feminino,60 anos ou mais,1.99,2.0,1.98,2.0,225
2019,GO,Feminino,Outras idades / Não mapeado,1.98,1.99,2.0,1.94,172
2019,GO,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.97,221
2019,GO,Masculino,60 anos ou mais,1.98,2.0,2.0,1.99,200
2019,GO,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,1.98,182
2019,GO,Feminino,Outras idades / Não mapeado,2.0,2.0,1.99,1.96,221
2019,GO,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.88,109
2019,GO,Feminino,Outras idades / Não mapeado,1.92,1.99,2.0,1.95,74
2019,GO,Masculino,Outras idades / Não mapeado,1.87,2.0,2.0,1.9,40
2019,DF,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.98,168
2019,DF,Masculino,45 a 59 anos,2.0,2.0,2.0,2.0,209
2019,DF,Masculino,Outras idades / Não mapeado,1.98,2.0,1.97,1.99,113
2019,DF,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,108
2019,DF,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.94,133
2019,DF,Masculino,Outras idades / Não mapeado,1.94,2.0,2.0,1.85,34
2019,DF,Feminino,Outras idades / Não mapeado,1.99,1.99,1.99,1.97,155
2019,DF,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.91,110
2019,RO,Masculino,15 a 29 anos,1.99,2.0,2.0,2.0,280
2019,RO,Feminino,Outras idades / Não mapeado,1.98,2.0,1.99,1.99,298
2019,RO,Masculino,30 a 44 anos,1.99,2.0,2.0,2.0,196
2019,RO,Feminino,Outras idades / Não mapeado,1.98,1.99,2.0,1.95,233
2019,RO,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.94,187
2019,RO,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.98,261
2019,RR,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,198
2019,RR,Masculino,Outras idades / Não mapeado,1.99,1.99,1.99,1.94,112
2019,RR,Masculino,Outras idades / Não mapeado,1.97,2.0,2.0,1.92,105
2019,RR,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,2.0,171
