ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1985,AC,Feminino,15449,
1985,AC,Masculino,19104,
1985,AL,Feminino,78152,
1985,AL,Masculino,133729,
1985,AM,Feminino,78495,
1985,AM,Masculino,120160,
1985,AP,Feminino,7341,
1985,AP,Masculino,14744,
1985,BA,Feminino,293749,
1985,BA,Masculino,538024,
1985,CE,Feminino,211620,
1985,CE,Masculino,264406,
1985,DF,Feminino,139109,
1985,DF,Masculino,332023,
1985,ES,Feminino,98704,
1985,ES,Masculino,215564,
1985,GO,Feminino,137642,
1985,GO,Masculino,246075,
1985,IGNORADO,Feminino,77675,
1985,IGNORADO,Masculino,369700,
1985,MG,Feminino,530802,
1985,MG,Masculino,1304963,
1985,MS,Feminino,53842,
1985,MS,Masculino,121128,
1985,MT,Feminino,42007,
1985,MT,Masculino,99595,
1985,PA,Feminino,107125,
1985,PA,Masculino,228391,
1985,PB,Feminino,99564,
1985,PB,Masculino,133386,
1985,PE,Feminino,224404,
1985,PE,Masculino,487039,
1985,PI,Feminino,56094,
1985,PI,Masculino,74772,
1985,PR,Feminino,341666,
1985,PR,Masculino,759385,
1985,RJ,Feminino,838823,
1985,RJ,Masculino,1834996,
1985,RN,Feminino,80600,
1985,RN,Masculino,118687,
1985,RO,Feminino,27840,
1985,RO,Masculino,53903,
1985,RR,Feminino,6036,
1985,RR,Masculino,8694,
1985,RS,Feminino,602882,
1985,RS,Masculino,1007420,
1985,SC,Feminino,245545,
1985,SC,Masculino,497898,
1985,SE,Feminino,52095,
1985,SE,Masculino,88040,
1985,SP,Feminino,2102404,
1985,SP,Masculino,4651786,
1986,AC,Feminino,18799,
1986,AC,Masculino,21807,
1986,AL,Feminino,84341,
1986,AL,Masculino,147713,
1986,AM,Feminino,99368,
1986,AM,Masculino,137618,
1986,AP,Feminino,8466,
1986,AP,Masculino,15147,
1986,BA,Feminino,317851,
1986,BA,Masculino,578115,
1986,CE,Feminino,235027,
1986,CE,Masculino,293954,
1986,DF,Feminino,149831,
1986,DF,Masculino,351148,
1986,ES,Feminino,112239,
1986,ES,Masculino,230511,
1986,GO,Feminino,161364,
1986,GO,Masculino,261873,
1986,IGNORADO,Feminino,85047,
1986,IGNORADO,Masculino,332689,
1986,MA,Feminino,83474,
1986,MA,Masculino,128472,
1986,MG,Feminino,616670,
1986,MG,Masculino,1423064,
1986,MS,Feminino,60580,
1986,MS,Masculino,130960,
1986,MT,Feminino,44694,
1986,MT,Masculino,103987,
1986,PB,Feminino,116158,
1986,PB,Masculino,150574,
1986,PE,Feminino,248491,
1986,PE,Masculino,530086,
1986,PI,Feminino,69343,
1986,PI,Masculino,91826,
1986,PR,Feminino,384223,
1986,PR,Masculino,829132,
1986,RJ,Feminino,906538,
1986,RJ,Masculino,1944435,
1986,RN,Feminino,85214,
1986,RN,Masculino,126601,
1986,RO,Feminino,9972,
1986,RO,Masculino,37327,
1986,RR,Feminino,6493,
1986,RR,Masculino,9754,
1986,RS,Feminino,656784,
1986,RS,Masculino,1074602,
1986,SC,Feminino,282875,
1986,SC,Masculino,544027,
1986,SE,Feminino,45799,
1986,SE,Masculino,88976,
1986,SP,Feminino,2317792,
1986,SP,Masculino,4991416,
1987,AC,Feminino,19163,
1987,AC,Masculino,23011,
1987,AL,Feminino,97116,
1987,AL,Masculino,163634,
1987,AM,Feminino,95286,
1987,AM,Masculino,139553,
1987,AP,Feminino,7736,
1987,AP,Masculino,17017,
1987,BA,Feminino,328166,
1987,BA,Masculino,588142,
1987,CE,Feminino,248067,
1987,CE,Masculino,298543,
1987,DF,Feminino,157603,
1987,DF,Masculino,360935,
1987,ES,Feminino,117465,
1987,ES,Masculino,237657,
1987,GO,Feminino,169007,
1987,GO,Masculino,274687,
1987,IGNORADO,Feminino,15522,
1987,IGNORADO,Masculino,66047,
1987,MA,Feminino,89495,
1987,MA,Masculino,135089,
1987,MG,Feminino,647071,
1987,MG,Masculino,1451718,
1987,MS,Feminino,61932,
1987,MS,Masculino,132179,
1987,MT,Feminino,49839,
1987,MT,Masculino,117009,
1987,PA,Feminino,127753,
1987,PA,Masculino,255508,
1987,PB,Feminino,118370,
1987,PB,Masculino,154714,
1987,PE,Feminino,261908,
1987,PE,Masculino,586865,
1987,PI,Feminino,71786,
1987,PI,Masculino,95609,
1987,PR,Feminino,406058,
1987,PR,Masculino,859291,
1987,RJ,Feminino,942014,
1987,RJ,Masculino,1956353,
1987,RN,Feminino,103815,
1987,RN,Masculino,145283,
1987,RO,Feminino,35736,
1987,RO,Masculino,61190,
1987,RR,Feminino,6465,
1987,RR,Masculino,9857,
1987,RS,Feminino,667253,
1987,RS,Masculino,1093861,
1987,SC,Feminino,291298,
1987,SC,Masculino,564790,
1987,SE,Feminino,57507,
1987,SE,Masculino,102593,
1987,SP,Feminino,2398634,
1987,SP,Masculino,5101728,
1988,AC,Feminino,20282,
1988,AC,Masculino,24427,
1988,AL,Feminino,102248,
1988,AL,Masculino,168601,
1988,AM,Feminino,101210,
1988,AM,Masculino,148006,
1988,AP,Feminino,10428,
1988,AP,Masculino,17780,
1988,BA,Feminino,336512,
1988,BA,Masculino,577718,
1988,CE,Feminino,261014,
1988,CE,Masculino,304165,
1988,DF,Feminino,162998,
1988,DF,Masculino,385603,
1988,ES,Feminino,123172,
1988,ES,Masculino,251522,
1988,GO,Feminino,185948,
1988,GO,Masculino,305316,
1988,IGNORADO,Feminino,9299,
1988,IGNORADO,Masculino,36398,
1988,MA,Feminino,96560,
1988,MA,Masculino,141463,
1988,MG,Feminino,689463,
1988,MG,Masculino,1553080,
1988,MS,Feminino,67551,
1988,MS,Masculino,146582,
1988,MT,Feminino,53331,
1988,MT,Masculino,124550,
1988,PA,Feminino,132424,
1988,PA,Masculino,259943,
1988,PB,Feminino,131796,
1988,PB,Masculino,155705,
1988,PE,Feminino,266882,
1988,PE,Masculino,579134,
1988,PI,Feminino,76600,
1988,PI,Masculino,97552,
1988,PR,Feminino,430450,
1988,PR,Masculino,906355,
1988,RJ,Feminino,991851,
1988,RJ,Masculino,2038902,
1988,RN,Feminino,108789,
1988,RN,Masculino,148488,
1988,RO,Feminino,40828,
1988,RO,Masculino,69104,
1988,RR,Feminino,6714,
1988,RR,Masculino,8878,
1988,RS,Feminino,694051,
1988,RS,Masculino,1140097,
1988,SC,Feminino,289158,
1988,SC,Masculino,569523,
1988,SE,Feminino,73883,
1988,SE,Masculino,109777,
1988,SP,Feminino,2542627,
1988,SP,Masculino,5352922,
1989,AC,Feminino,21005,
1989,AC,Masculino,23061,
1989,AL,Feminino,100154,
1989,AL,Masculino,160175,
1989,AM,Feminino,115773,
1989,AM,Masculino,155362,
1989,AP,Feminino,11624,
1989,AP,Masculino,19586,
1989,BA,Feminino,344290,
1989,BA,Masculino,587280,
1989,CE,Feminino,258558,
1989,CE,Masculino,299724,
1989,DF,Feminino,169416,
1989,DF,Masculino,399099,
1989,ES,Feminino,130297,
1989,ES,Masculino,259642,
1989,GO,Feminino,172043,
1989,GO,Masculino,274496,
1989,IGNORADO,Feminino,57300,
1989,IGNORADO,Masculino,243464,
1989,MA,Feminino,100504,
1989,MA,Masculino,143570,
1989,MG,Feminino,734448,
1989,MG,Masculino,1589686,
1989,MS,Feminino,73668,
1989,MS,Masculino,147493,
1989,MT,Feminino,48632,
1989,MT,Masculino,115264,
1989,PA,Feminino,130818,
1989,PA,Masculino,254482,
1989,PB,Feminino,137758,
1989,PB,Masculino,161851,
1989,PE,Feminino,274190,
1989,PE,Masculino,579119,
1989,PI,Feminino,79717,
1989,PI,Masculino,97849,
1989,PR,Feminino,453333,
1989,PR,Masculino,916891,
1989,RJ,Feminino,1011749,
1989,RJ,Masculino,2016895,
1989,RN,Feminino,77742,
1989,RN,Masculino,134604,
1989,RO,Feminino,47162,
1989,RO,Masculino,77321,
1989,RR,Feminino,8111,
1989,RR,Masculino,11215,
1989,RS,Feminino,716864,
1989,RS,Masculino,1143402,
1989,SC,Feminino,312227,
1989,SC,Masculino,598497,
1989,SE,Feminino,75046,
1989,SE,Masculino,106909,
1989,SP,Feminino,2693179,
1989,SP,Masculino,5538304,
1989,TO,Feminino,14560,
1989,TO,Masculino,13797,
1990,AC,Feminino,22322,
1990,AC,Masculino,23914,
1990,AL,Feminino,100093,
1990,AL,Masculino,159027,
1990,AM,Feminino,109233,
1990,AM,Masculino,141472,
1990,AP,Feminino,14442,
1990,AP,Masculino,20774,
1990,BA,Feminino,341604,
