ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2015,MS,Masculino,3,1,Conta própria,6,3766.6666666666665
2015,AP,Feminino,3,1,Conta própria,1,150
2012,CE,Feminino,2,1,Conta própria,24,1234.7916666666665
2012,RN,Feminino,2,1,Conta própria,6,450
2023,RR,Masculino,3,1,Conta própria,1,2700
2023,BA,Masculino,4,1,Conta própria,973,1292.5364850976359
2015,DF,Feminino,2,1,Conta própria,18,1028.8888888888887
2023,SE,Masculino,5,1,Conta própria,2,1325
2013,MS,Feminino,1,1,Conta própria,210,1221.3301435406704
2013,MT,Masculino,3,1,Conta própria,4,5000
2016,RJ,Masculino,1,1,Conta própria,1171,2162.8966695132367
2016,RS,Feminino,2,1,Conta própria,39,832.82051282051282
2014,CE,Masculino,2,1,Conta própria,112,746.2385321100918
2014,CE,Masculino,5,1,Conta própria,4,600
2017,RN,Feminino,4,1,Conta própria,251,691.47808764940248
2017,MT,Feminino,5,1,Conta própria,2,675
2017,PI,Masculino,2,1,Conta própria,111,744.64864864864865
2016,RN,Masculino,2,1,Conta própria,54,1083.148148148148
2018,RO,Masculino,5,1,Conta própria,7,3150.5714285714289
2017,RO,Masculino,1,1,Conta própria,349,1760.2779369627508
2019,AM,Masculino,3,1,Conta própria,6,824.66666666666663
2017,SC,Feminino,5,1,Conta própria,4,1162.5
2018,AC,Feminino,1,1,Conta própria,60,1280.4666666666667
2024,CE,Feminino,1,1,Conta própria,221,1534.9819004524884
2017,PR,Masculino,3,1,Conta própria,22,3176.1818181818185
2022,MS,Masculino,1,1,Conta própria,336,2875.3095238095248
2020,PB,Feminino,3,1,Conta própria,2,950
2019,AP,Masculino,5,1,Conta própria,3,1066
2013,PR,Masculino,5,1,Conta própria,1,100
2020,PR,Feminino,1,1,Conta própria,499,2020.5891783567138
2021,BA,Masculino,3,1,Conta própria,10,895
2016,AP,Feminino,1,1,Conta própria,28,1321.7857142857144
2015,MA,Masculino,3,1,Conta própria,11,572.22222222222229
2012,PI,Feminino,4,1,Conta própria,466,345.94849785407729
2012,SP,Feminino,2,1,Conta própria,51,1000.7843137254902
2012,PR,Feminino,2,1,Conta própria,17,871.88235294117646
2012,PB,Feminino,4,1,Conta própria,291,465.416961130742
2014,DF,Masculino,4,1,Conta própria,282,1747.0106761565835
2012,SC,Masculino,5,1,Conta própria,1,900
2012,SC,Feminino,3,1,Conta própria,1,622
2023,AM,Masculino,5,1,Conta própria,71,1018.0704225352114
2023,AM,Feminino,3,1,Conta própria,2,4410
2014,RR,Feminino,2,1,Conta própria,11,343.09090909090907
2014,RN,Feminino,2,1,Conta própria,20,405.1
2013,MG,Feminino,2,1,Conta própria,107,731.80373831775694
2013,AM,Feminino,1,1,Conta própria,91,1205.9555555555555
2016,PB,Feminino,2,1,Conta própria,23,627.82608695652175
2017,GO,Masculino,5,1,Conta própria,3,833.33333333333337
2022,SP,Masculino,5,1,Conta própria,13,2924
2018,CE,Feminino,2,1,Conta própria,69,603.3478260869565
2022,MS,Feminino,1,1,Conta própria,193,1913.2538860103627
