ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_outras_fontes_geral,total_respondentes
2019,AC,Feminino,Outras idades / Não mapeado,1.97,7.9,136
2019,AC,Feminino,15 a 29 anos,2.0,7.99,241
2019,AC,Feminino,60 anos ou mais,1.99,7.77,272
2019,AC,Masculino,Outras idades / Não mapeado,1.96,7.95,57
2019,AC,Masculino,Outras idades / Não mapeado,1.9,7.96,49
2019,AL,Masculino,Outras idades / Não mapeado,1.96,7.89,56
2019,AL,Feminino,Outras idades / Não mapeado,1.98,7.64,45
2019,AL,Feminino,Outras idades / Não mapeado,2.0,7.71,55
2019,AL,Feminino,Outras idades / Não mapeado,2.0,8.0,9
2019,AL,Feminino,Outras idades / Não mapeado,1.85,7.96,46
2019,AL,Masculino,15 a 29 anos,2.0,8.0,49
2019,AL,Masculino,Outras idades / Não mapeado,1.97,8.0,32
2019,AL,Feminino,0 a 14 anos,2.0,8.0,57
2019,AL,Masculino,Outras idades / Não mapeado,1.92,8.0,39
2019,AL,Masculino,Outras idades / Não mapeado,1.88,8.0,8
2019,AM,Masculino,Outras idades / Não mapeado,1.98,7.92,280
2019,AM,Feminino,30 a 44 anos,2.0,8.0,378
2019,AM,Feminino,Outras idades / Não mapeado,2.0,7.66,322
2019,AM,Masculino,45 a 59 anos,1.99,8.0,557
2019,AM,Feminino,Outras idades / Não mapeado,1.99,7.61,322
2019,AM,Masculino,Outras idades / Não mapeado,1.98,7.92,323
2019,AM,Masculino,60 anos ou mais,1.98,7.98,444
2019,AM,Feminino,Outras idades / Não mapeado,1.96,7.68,256
2019,AM,Masculino,Outras idades / Não mapeado,1.99,7.95,333
2019,AM,Feminino,Outras idades / Não mapeado,1.88,7.97,121
2019,AM,Feminino,Outras idades / Não mapeado,1.83,8.0,76
2019,AM,Masculino,Outras idades / Não mapeado,1.88,7.89,109
2019,AM,Feminino,Outras idades / Não mapeado,1.87,7.96,54
2019,PA,Feminino,Outras idades / Não mapeado,2.0,7.72,18
2019,PA,Masculino,Outras idades / Não mapeado,2.0,7.97,39
2019,PA,Feminino,Outras idades / Não mapeado,2.0,7.5,20
2019,PA,Feminino,Outras idades / Não mapeado,1.78,8.0,9
2019,PA,Masculino,Outras idades / Não mapeado,2.0,7.97,34
2019,PA,Feminino,30 a 44 anos,2.0,8.0,40
2019,PA,Feminino,Outras idades / Não mapeado,2.0,7.39,33
2019,PA,Masculino,45 a 59 anos,1.99,8.0,69
2019,PA,Masculino,60 anos ou mais,2.0,7.97,37
2019,PA,Masculino,Outras idades / Não mapeado,2.0,7.93,15
2019,PA,Masculino,Outras idades / Não mapeado,1.92,8.0,12
2019,PA,Feminino,Outras idades / Não mapeado,1.75,8.0,8
2019,PA,Feminino,Outras idades / Não mapeado,2.0,8.0,3
2019,AP,Feminino,Outras idades / Não mapeado,1.94,7.88,66
2019,AP,Feminino,Outras idades / Não mapeado,1.82,8.0,17
2019,AP,Masculino,Outras idades / Não mapeado,1.97,7.95,74
2019,AP,Masculino,Outras idades / Não mapeado,1.97,7.95,64
2019,AP,Feminino,0 a 14 anos,2.0,7.99,153
2019,AP,Masculino,Outras idades / Não mapeado,1.98,7.95,122
2019,AP,Feminino,Outras idades / Não mapeado,1.98,7.76,131
2019,AP,Feminino,Outras idades / Não mapeado,1.97,7.85,119
2019,AP,Masculino,15 a 29 anos,1.99,7.99,157
2019,AP,Masculino,Outras idades / Não mapeado,1.9,7.9,20
2019,MA,Masculino,Outras idades / Não mapeado,1.89,7.95,19
2019,MA,Feminino,15 a 29 anos,2.0,8.0,86
2019,MA,Feminino,Outras idades / Não mapeado,1.95,7.93,61
2019,MA,Feminino,60 anos ou mais,2.0,7.8,76
2019,MA,Masculino,Outras idades / Não mapeado,1.89,8.0,19
2019,CE,Feminino,15 a 29 anos,2.0,8.0,203
2019,CE,Feminino,60 anos ou mais,1.99,7.77,221
2019,CE,Masculino,Outras idades / Não mapeado,1.9,7.94,79
2019,CE,Feminino,Outras idades / Não mapeado,1.99,7.81,170
2019,CE,Masculino,Outras idades / Não mapeado,1.97,7.98,64
2019,BA,Feminino,60 anos ou mais,2.0,7.75,76
2019,BA,Masculino,Outras idades / Não mapeado,2.0,7.95,22
2019,BA,Feminino,Outras idades / Não mapeado,1.98,7.86,65
2019,BA,Feminino,15 a 29 anos,2.0,8.0,81
2019,BA,Masculino,Outras idades / Não mapeado,1.86,7.93,29
2019,MG,Masculino,30 a 44 anos,1.99,8.0,138
2019,MG,Masculino,0 a 14 anos,2.0,7.99,174
2019,MG,Feminino,Outras idades / Não mapeado,2.0,7.87,202
2019,MG,Feminino,45 a 59 anos,2.0,7.98,227
2019,MG,Masculino,Outras idades / Não mapeado,1.99,7.94,158
2019,MG,Masculino,Outras idades / Não mapeado,1.98,7.98,182
2019,ES,Feminino,Outras idades / Não mapeado,1.98,7.86,58
2019,ES,Masculino,Outras idades / Não mapeado,1.99,7.93,82
2019,ES,Masculino,Outras idades / Não mapeado,2.0,7.99,68
2019,ES,Feminino,Outras idades / Não mapeado,2.0,7.76,79
2019,ES,Masculino,Outras idades / Não mapeado,1.98,7.89,54
2019,ES,Masculino,60 anos ou mais,2.0,7.95,61
2019,ES,Feminino,30 a 44 anos,2.0,8.0,44
2019,ES,Masculino,45 a 59 anos,2.0,8.0,70
2019,ES,Feminino,Outras idades / Não mapeado,2.0,7.8,64
2019,ES,Feminino,Outras idades / Não mapeado,2.0,8.0,27
2019,ES,Masculino,Outras idades / Não mapeado,2.0,8.0,22
2019,ES,Feminino,Outras idades / Não mapeado,2.0,7.89,18
2019,ES,Feminino,Outras idades / Não mapeado,2.0,8.0,15
2019,MS,Masculino,30 a 44 anos,2.0,8.0,4
2019,MS,Masculino,Outras idades / Não mapeado,2.0,8.0,2
2019,MS,Feminino,Outras idades / Não mapeado,2.0,7.5,4
2019,MS,Masculino,Outras idades / Não mapeado,2.0,8.0,6
2019,MS,Masculino,0 a 14 anos,2.0,8.0,3
2019,MS,Feminino,45 a 59 anos,2.0,8.0,1
2019,MT,Masculino,30 a 44 anos,1.94,8.0,34
2019,MT,Masculino,Outras idades / Não mapeado,2.0,7.86,28
2019,MT,Feminino,45 a 59 anos,2.0,7.98,45
2019,MT,Feminino,Outras idades / Não mapeado,1.98,7.58,43
2019,MT,Masculino,0 a 14 anos,2.0,8.0,34
2019,MT,Masculino,Outras idades / Não mapeado,2.0,7.93,46
2019,GO,Masculino,Outras idades / Não mapeado,2.0,7.96,211
2019,GO,Feminino,30 a 44 anos,2.0,8.0,142
2019,GO,Masculino,45 a 59 anos,1.98,7.99,271
2019,GO,Feminino,Outras idades / Não mapeado,1.98,7.81,193
2019,GO,Masculino,Outras idades / Não mapeado,2.0,7.94,217
2019,GO,Feminino,Outras idades / Não mapeado,1.99,7.84,213
2019,GO,Masculino,60 anos ou mais,1.98,7.99,200
2019,GO,Masculino,Outras idades / Não mapeado,1.99,7.95,182
2019,GO,Feminino,Outras idades / Não mapeado,2.0,7.9,221
2019,GO,Feminino,Outras idades / Não mapeado,1.98,7.88,89
2019,GO,Masculino,Outras idades / Não mapeado,1.98,7.88,109
2019,GO,Feminino,Outras idades / Não mapeado,1.92,7.93,74
2019,GO,Feminino,Outras idades / Não mapeado,1.91,7.88,68
2019,DF,Feminino,Outras idades / Não mapeado,1.99,7.93,149
2019,DF,Masculino,45 a 59 anos,2.0,7.99,209
2019,DF,Feminino,30 a 44 anos,2.0,8.0,110
2019,DF,Feminino,Outras idades / Não mapeado,2.0,7.93,153
2019,DF,Masculino,Outras idades / Não mapeado,2.0,7.96,137
2019,DF,Masculino,60 anos ou mais,2.0,7.99,154
2019,DF,Masculino,Outras idades / Não mapeado,1.98,7.93,133
2019,DF,Masculino,Outras idades / Não mapeado,1.98,7.94,131
2019,DF,Feminino,Outras idades / Não mapeado,1.99,7.93,152
2019,DF,Feminino,Outras idades / Não mapeado,1.96,7.91,45
2019,DF,Masculino,Outras idades / Não mapeado,1.97,7.86,65
2019,DF,Feminino,Outras idades / Não mapeado,1.87,7.94,52
2019,DF,Feminino,Outras idades / Não mapeado,1.93,7.97,68
2019,RO,Feminino,Outras idades / Não mapeado,1.98,7.85,298
2019,RO,Masculino,Outras idades / Não mapeado,1.97,7.95,232
2019,RO,Masculino,45 a 59 anos,1.98,7.99,357
2019,RO,Masculino,60 anos ou mais,1.98,7.98,327
